series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.stopped,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,,,,,2.0,10,453.63050660002045,453.7058039000258,453.7058039000258,p,1.2017361000180244,454.92077299999073,456.92100370000117,456.92100370000117,462.19738109997706,462.19738109997706,0,0,4.258,462.19738109997706,462.19738109997706,y,2.653498400002718,457.9408936999971,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,1,0,1,0,,,,,2.4,20,464.8956693999935,464.96412379998947,464.96412379998947,p,0.5748792999656871,465.5472568999976,467.9504104999942,467.9504104999942,471.38601309998194,471.38601309998194,0,0,2.418,471.38601309998194,471.38601309998194,y,1.4489742000005208,468.9685678000096,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,2,0,2,0,,,,,2.1,30,472.8840611000196,472.9506443000282,472.9506443000282,p,0.6130148000083864,473.5757325000013,475.6801555000129,475.6801555000129,479.33863690000726,479.33863690000726,2,2,2.642,479.33863690000726,479.33863690000726,y,1.3844456999795511,,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,3,0,3,0,,,,,2.5,40,480.7766684999806,480.840513299976,480.840513299976,p,0.594635899993591,481.4450176000246,483.94586989999516,483.94586989999516,488.8052231000038,488.8052231000038,15,15,3.843,488.8052231000038,488.8052231000038,y,1.4460671999840997,484.9633230000036,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,4,0,4,0,,,,,2.3,50,490.2998415000038,490.36269280000124,490.36269280000124,p,0.608908900001552,490.9806322000222,493.2865552000003,493.2865552000003,497.4446004999918,497.4446004999918,27,27,3.143,497.4446004999918,497.4446004999918,y,1.4789849999942817,494.30369849997805,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,5,0,5,0,,,,,2.1,60,498.96052700001746,499.03754029999254,499.03754029999254,p,0.6139089000062086,499.66228550003143,501.76691569999093,501.76691569999093,507.231071599992,507.231071599992,39,39,4.449,507.231071599992,507.231071599992,y,1.2281332000275142,502.7840500000166,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,6,0,6,0,,,,,2.3,70,508.4996159999864,508.57353739999235,508.57353739999235,p,0.5820151999942027,509.16362900001695,511.46935349999694,511.46935349999694,514.7107783000101,514.7107783000101,55,55,2.226,514.7107783000101,514.7107783000101,y,1.26911769999424,512.4852062999853,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,7,0,7,0,,,,,2.0,80,516.0405064999941,516.0956399000133,516.0956399000133,p,0.5237917999620549,516.6300392000121,518.630011100031,518.630011100031,523.7421181999962,523.7421181999962,66,66,4.093,523.7421181999962,523.7421181999962,y,1.0609605999779887,519.6494118000264,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,8,0,8,0,,,,,2.3,90,524.8602832999895,524.9157550000236,524.9157550000236,p,0.6400279000517912,525.5682825000258,527.8743571999948,527.8743571999948,534.541082700016,534.541082700016,84,84,5.645,534.541082700016,534.541082700016,n,1.1020215000025928,528.8952135000145,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,0,750,700,3,2023-11-06_16h02.58.651,painuncertainty_calibration,2022.2.5,143.98723694118283,
